,site,site_name,latitude,longitude,elevation,country,country_iso_code,site_type,site_area,date_start,date_end,network,eu_code,eoi_code,observation_count,data_source
1172,cz0zuhr,Uherske Hradiste,49.06795611,17.46684238,191,czechia,CZ,traffic,urban,01/01/2005 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0ZUHR,CZ0ZUHR,653297,airbase; aqer:e1a; aqer:e2a
1173,cz0zvmz,Valasske Mezirici,49.44261295,17.96702433,290,czechia,CZ,background,urban,07/01/2013 23:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0ZVMZ,CZ0ZVMZ,92658,aqer:e1a; aqer:e2a
1174,cz0zvsh,Vsetin - hvezdarna,49.34444565,17.99612975,385,czechia,CZ,background,suburban,01/01/2005 00:00,29/04/2020 23:00,NET-CZ001A,STA-CZ0ZVSH,CZ0ZVSH,5015,airbase; aqer:e1a; aqer:e2a
1175,cz0zzln,Zlin,49.23288566,17.66716669,258,czechia,CZ,background,suburban,01/01/2003 00:00,14/12/2020 01:00,NET-CZ001A,STA-CZ0ZZLN,CZ0ZZLN,1377135,airbase; aqer:e1a; aqer:e2a
1176,cz_abre,Praha 6-Brevnov,50.08438492,14.38011646,300,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1177,cz_akal,Praha 8-Karlin,50.09423828,14.44204903,203,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1178,cz_akob,Praha 8-Kobylisy,50.12218857,14.46757793,269,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1179,cz_aleg,Praha 2-Legerova,50.0723877,14.43067265,219,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1180,cz_alib,Praha 4-Libus,50.00730515,14.44593334,301,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1181,cz_apru,Praha 10-Prumyslova,50.06229782,14.53781986,267,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1182,cz_arep,Praha 1-n. Republiky,50.0880661,14.4292202,190,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1183,cz_arie,Praha 2-Riegrovy sady,50.08148193,14.4426918,256,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1184,cz_asto,Praha 5-Stodulky,50.04613113,14.33141327,309,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1185,cz_asuc,Praha 6-Suchdol,50.12652969,14.38463879,277,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1186,cz_avrs,Praha 10-Vrsovice,50.06642914,14.44615173,201,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1187,cz_avyn,Praha 9-Vysocany,50.11108017,14.50309563,219,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1188,cz_bbdn,Brno - Detska nemocnice,49.20272446,16.61628723,225,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1189,cz_bbni,Brno-Lisen,49.21321106,16.67802429,340,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1190,cz_bbnv,Brno-Uvoz,49.1980896,16.59364319,235,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1191,cz_bbny,Brno-Turany,49.14897156,16.69621658,241,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
1192,cz_bkuc,Kucharovice,48.88135529,16.08581734,334,czechia,CZ,NA,NA,NA,NA,NA,NA,NA,NA,aqer:e2a
